P-0412	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย 7.62 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0413	 | -->	ปลอกกระสุนปืนพร้อมชนวนท้าย 7.65 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0415	 | -->	ปลอกกระสุนปืนลูกซองพร้อมชนวนท้าย	 | -->	9	 = 	ปลอก
P-0417	 | -->	ชนวนท้าย 7.65 มิลลิเมตร	 | -->	1	 = 	อัน
P-0418	 | -->	ชนวนท้าย ลูกซอง	 | -->	1	 = 	อัน
P-0420	 | -->	ชนวนท้ายปืนใหญ่ 20 มิลลิเมตร	 | -->	1	 = 	อัน
P-0421	 | -->	ชนวนท้ายปืนใหญ่ 37 มิลลิเมตร	 | -->	1	 = 	อัน
P-0422	 | -->	ชนวนท้ายปืนใหญ่ 40 มิลลิเมตร	 | -->	1	 = 	อัน
P-0423	 | -->	ชนวนท้ายปืนใหญ่ 75 มิลลิเมตร	 | -->	1	 = 	อัน
P-0424	 | -->	ชนวนท้ายปืนใหญ่ 23 มิลลิเมตร	 | -->	1	 = 	อัน
P-0425	 | -->	ชนวนท้ายปืนใหญ่ 30 มิลลิเมตร	 | -->	1	 = 	อัน
P-0433	 | -->	ปลอกกระสุนปืนใหญ่พร้อมชนวนท้าย 105 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0435	 | -->	ปลอกกระสุนปืนใหญ่พร้อมชนวนท้าย 20 มิลลิเมตร	 | -->	1	 = 	อัน
P-0438	 | -->	ปลอกกระสุนปืนใหญ่พร้อมชนวนท้าย 23 มิลลิเมตร	 | -->	1	 = 	อัน
P-0440	 | -->	ปลอกกระสุนปืนใหญ่พร้อมชนวนท้าย 30 x 173 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0442	 | -->	ปลอกกระสุนปืนใหญ่พร้อมชนวนท้าย 37 มิลลิเมตร	 | -->	1	 = 	อัน
P-0444	 | -->	ปลอกกระสุนปืนใหญ่พร้อมชนวนท้าย 40 มิลลิเมตร	 | -->	1	 = 	อัน
P-0446	 | -->	ปลอกกระสุนปืนใหญ่พร้อมชนวนท้าย 75 มิลลิเมตร	 | -->	1	 = 	อัน
P-0454	 | -->	หัวกระสุนปืน (จริง) .22 นิ้ว	 | -->	8	 = 	หัว
P-0456	 | -->	หัวกระสุนปืน (ซ้อม) .22 นิ้ว	 | -->	8	 = 	หัว
P-0477	 | -->	หัวกระสุนปืน (จริง) 7.62 มิลลิเมตร	 | -->	8	 = 	หัว
P-0478	 | -->	หัวกระสุนปืน (ซ้อม) 7.65 มิลลิเมตร	 | -->	8	 = 	หัว
P-0534	 | -->	ปลายเตะจานล็อคปลอก 1050/1000	 | -->	2	 = 	ชิ้น
P-0535	 | -->	สปริงดันตัวผลักจานล็อคปลอก SD	 | -->	2	 = 	ชิ้น
P-0537	 | -->	ตัวล็อคฟันคันโยก	 | -->	2	 = 	ชิ้น
P-0558	 | -->	ชุดปล่อยดินส่งกระสุน MARK X POWDER SHUTTLE KIT	 | -->	4	 = 	ชุด
P-0560	 | -->	พลาสติกปิดปากลูกซอง	 | -->	1	 = 	อัน
P-0570	 | -->	ชนวนท้าย .50 นิ้ว	 | -->	1	 = 	อัน
P-0571	 | -->	1001-2 มาร์ค 7 ชุด 1050 โปรออโต้ไดร์ฟ(1001-2 Mark7 1505 PRO Autodrive)	 | -->	4	 = 	ชุด
P-0572	 | -->	มาร์ค7 เจน2 เซ็นเซอร์เช็คดินส่งกระสุนปืน แบบดิจิตอล (Mark7 Gen2 PowderSense Digital Powder Check Sensor)	 | -->	2	 = 	ชิ้น
P-0573	 | -->	มาร์ค7 1050 เซ็นเซอร์เช็ค หัวกระสุน(Mark7 1050 ฺBulletSense Bullet Detection Sensor)	 | -->	2	 = 	ชิ้น
P-0574	 | -->	มาร์ค7 เซ็นเซอร์ เช็คชนวนท้าย(Mark7 PrimerSense Low Primer Sensor)	 | -->	2	 = 	ชิ้น
P-0575	 | -->	มาร์ค7 สแวกซ์(Mark7 SWAGEsense)	 | -->	2	 = 	ชิ้น
P-0576	 | -->	มาร์ค7 สายดันชนวนท้ายเก่าออก(Mark7 DecapSense)	 | -->	2	 = 	ชิ้น
P-0577	 | -->	มาร์ค7 สวิตซ์หยุดระยะไกลแบบมีสาย(Mark7 Wired Remote Stop Switch)	 | -->	2	 = 	ชิ้น
P-0578	 | -->	มาร์ค7 1050 โล่ป้องกันแบบปลดอิเล้กทรอนิกส์(Mark7 1050 Safety Shield with Electronic Disconnect)	 | -->	2	 = 	ชิ้น
P-0579	 | -->	ชิ้นส่วนอาวุธปืนพกกล็อก (ออโตเมติก) ซองบรรจุกระสุน รุ่น 19 9 มิลลิเมตร	 | -->	1	 = 	อัน
P-0580	 | -->	ชิ้นส่วนอาวุธปืนพกกล็อก(ออโตเมติก) ซองบรรจุกระสุน รุ่น 17 ขนาด 9 มิลลิเมตร	 | -->	1	 = 	อัน
